Pivots,Query Objects, Cluster Level, BTree degree, Range, Max Leaf Objects, Average, Standard Deviation
50,100,4,100,0.15,10,4084.15,105.16381269238958
50,100,4,500,0.15,10,4179.25,184.43776050472962
50,100,4,50,0.15,20,4006.25,102.87996646577992
50,100,4,100,0.15,20,4132.65,201.71893193252833
50,100,4,500,0.15,20,4027.8,108.67133936783884
50,100,4,50,0.15,50,4007.75,246.98074317646712
50,100,4,100,0.15,50,4067.95,251.11301738460313
50,100,4,500,0.15,50,3961.9,130.62729423822574
50,100,4,50,0.15,100,3926,164.80867695603894
50,100,4,100,0.15,100,3966.95,205.5617851158138
50,100,4,500,0.15,100,3912.7,94.09628047909227
50,100,4,50,0.15,200,4031.95,134.178044031056
50,100,4,100,0.15,200,4117.45,217.25502871049957
50,100,4,500,0.15,200,4061.6,132.1485527730062
50,100,4,50,0.15,300,3951.2,125.1865008697024
50,100,4,100,0.15,300,3981.1,131.45337576494566
50,100,4,500,0.15,300,3977.95,125.07176939661484
50,100,4,50,0.15,500,4058.7,171.5508962378221
50,100,4,100,0.15,500,4093.65,165.06401031115172
50,100,4,500,0.15,500,4059.75,164.2552510576146
10,100,2,50,0.15,null,4002.25,122.05977019476974
10,100,2,100,0.15,null,3958.55,118.10227559196308
10,100,2,500,0.15,null,3802.55,133.06144257447383
10,100,3,50,0.15,null,3825.6,138.01463690493122
10,100,3,100,0.15,null,3739.8,180.94076378748932
10,100,3,500,0.15,null,3711.4,191.95947488988398
10,100,4,50,0.15,null,3732.6,220.25494319083964
10,100,4,100,0.15,null,3645.8,148.40741221381094
10,100,4,500,0.15,null,3589.1,190.89444727387962
20,100,2,50,0.15,null,4251.85,172.90033979145326
20,100,2,100,0.15,null,4177.15,169.63115132545673
20,100,2,500,0.15,null,4124.9,124.72926681416835
20,100,3,50,0.15,null,3972.1,172.70086855600928
20,100,3,100,0.15,null,3972.7,166.08193760912113
20,100,3,500,0.15,null,3938.25,165.70300993041738
20,100,4,50,0.15,null,3996.55,141.59359978473603
20,100,4,100,0.15,null,3969.85,172.67491856086104
20,100,4,500,0.15,null,3935.4,188.52384464571054
30,100,2,50,0.15,null,4310.8,116.1695312894048
30,100,2,100,0.15,null,4305.8,153.85629658873242
30,100,2,500,0.15,null,4343.65,162.92644812920952
30,100,3,50,0.15,null,4163.2,169.84481151922185
30,100,3,100,0.15,null,4205.5,168.33374587408196
30,100,3,500,0.15,null,4147,202.43492781632324
30,100,4,50,0.15,null,4255.5,163.05045231461335
30,100,4,100,0.15,null,4267.75,84.94461430838332
30,100,4,500,0.15,null,4249.65,218.67790812059638
50,100,2,50,0.15,null,3996.9,207.575022582198
50,100,2,100,0.15,null,3942.2,210.62540207676756
50,100,2,500,0.15,null,3953,185.17208212902938
50,100,3,50,0.15,null,4004.3,159.8515248597898
50,100,3,100,0.15,null,3984.35,171.05767302287262
50,100,3,500,0.15,null,3897.65,166.91473122525764
50,100,4,50,0.15,null,4441.5,197.95188809405178
50,100,4,100,0.15,null,4450.75,190.9489133250043
50,100,4,500,0.15,null,4372.25,173.510194225008
